axis    vel     acc 	dec 	jerk    kp	kd	ki	kvff    kaff	kout	il	ol	bias	error limit
pan     300.0	300.0	300.0	0.0     400	400	50	0	0	65535	1000	32767	0	150
tilt    300.0   300.0   300.0   0.0     400	400	50	0	0	65535	1000	32767	0	100
# entries	# rates	rates	description
15791	1 10	Berkeley
-8.07	14.87	4.57
-7.29	14.96	4.85
-7.29	14.82	5.03
-7.29	15.01	5.24
-7.29	15.26	5.39
-7.29	15.65	5.46
-7.29	15.87	5.46
0.14	15.67	5.55
2.03	15.29	5.92
2.03	15.24	6.45
3.47	15.57	6.93
3.47	15.68	7.17
5.65	15.7	7.37
7.82	15.67	7.55
7.82	16.15	7.82
7.82	16.63	8.22
9.41	17.16	8.63
9.41	17.28	8.83
9.92	17.31	8.95
10.82	17.29	8.96
10.82	17.44	8.76
13.29	17.89	8.63
13.29	18.38	8.69
15.42	19.03	8.72
15.42	19.03	8.88
16.86	18.5	9.18
16.86	18.54	9.35
17.49	19.12	9.55
17.49	19.57	9.49
17.49	20.12	9.13
17.49	20.76	8.69
17.49	21.5	8.44
20.61	21.77	8.3
22.73	21.61	8
22.73	20.98	7.74
22.73	20.76	7.77
25.16	21.04	7.62
25.16	21.48	7.3
26.32	21.85	7
27.6	22.05	6.82
27.6	22.44	6.72
28.24	22.6	6.78
28.24	22.42	6.84
28.39	22.44	6.69
28.39	22.55	6.48
28.58	22.53	6.15
28.58	22.76	5.69
28.71	22.86	5.26
28.71	22.48	4.99
28.24	21.78	4.71
27.27	21.17	4.59
27.27	21.22	4.41
26.78	21.47	3.94
26.78	21.65	3.39
27.65	21.56	2.95
27.65	21.18	2.67
27.65	20.84	2.46
27.65	20.27	2.29
27.65	19.64	2.31
27.65	19.41	2.27
28.08	19.24	1.93
28.86	18.87	1.47
28.86	18.29	1.04
28.97	17.8	0.74
28.97	17.74	0.58
27.66	17.86	0.51
27.66	17.49	0.04
28.28	17.18	-0.39
28.28	17.06	-0.45
27.57	16.98	-0.45
27.57	16.78	-0.72
27.38	16.39	-1.03
28.3	16.42	-1.31
28.3	16.46	-1.64
29.51	16.05	-1.75
29.51	15.64	-2.04
31.83	15.42	-2.31
31.83	15.63	-2.39
33.46	15.97	-2.24
33.46	16.1	-2.14
33.24	16.47	-1.98
33.24	16.51	-1.94
32.07	16.12	-1.95
32.07	15.73	-2.25
32.07	15.47	-2.66
32.07	15.9	-3.1
26.5	16.81	-3.44
26.5	17.34	-3.71
25.63	17.47	-3.89
25.63	17.47	-3.95
26.05	17.47	-3.9
26.05	17.42	-3.85
25.84	17.44	-3.87
25.84	17.75	-4.01
24.48	18.24	-4.27
24.48	18.44	-4.59
23.01	18.34	-4.74
23.01	18.13	-4.91
21.6	18.25	-5.09
21.6	18.37	-5.16
21.14	18.66	-5.11
21.14	18.85	-4.93
20.47	18.59	-5.02
20.47	18.24	-5.28
20.71	17.74	-5.53
20.71	17.72	-5.62
21.89	17.7	-5.4
21.89	17.62	-5.16
21.38	17.13	-5.22
21.38	16.69	-5.16
21.38	16.51	-4.95
21.38	16.46	-4.8
21.38	16.24	-4.72
18.78	15.89	-4.89
18.78	15.69	-5.08
17.67	15.46	-5.03
17.67	15.29	-4.93
16.25	15.11	-4.82
16.25	14.98	-4.84
15.5	14.84	-4.94
15.5	14.77	-4.88
14.88	14.63	-4.7
13.33	14.46	-4.51
13.33	14.41	-4.57
11.23	14.49	-4.61
11.23	14.58	-4.71
9.45	14.49	-4.81
9.45	14.39	-4.74
8.59	14.2	-4.58
8.59	14.04	-4.41
7.71	13.89	-4.22
7.71	13.84	-4.17
8.4	14.06	-4.04
9.03	14.17	-3.85
9.03	13.69	-3.64
9.98	13.39	-3.53
9.98	13.19	-3.56
9.98	13.58	-3.37
9.98	13.88	-3.01
9.98	13.88	-2.59
10.78	13.71	-2.26
10.37	13.5	-2.09
10.37	13.38	-1.97
11.07	13.41	-2.11
11.07	13.54	-2.09
11.07	13.63	-1.9
10.78	13.52	-1.76
11.33	13.54	-1.71
11.33	13.5	-1.44
12.45	13.39	-1.21
12.45	13.34	-1.12
14.63	13.4	-1.08
16.98	13.71	-1.09
16.98	13.92	-0.88
18.16	14.2	-0.5
18.16	14.33	-0.19
18.16	14.3	0.34
17.3	14.28	0.84
15.9	14.29	0.97
15.9	14.51	0.88
15.11	15.13	0.89
15.11	15.5	0.84
14.94	15.75	0.97
14.94	15.82	1.05
14.94	15.83	1.12
14.94	15.81	1.26
14.94	15.76	1.23
18.78	15.79	1.38
18.78	16	1.54
18.26	16.07	1.72
18.26	15.93	1.87
17.1	15.93	1.82
17.1	16.33	1.6
17	16.51	1.42
17	16.79	1.58
16.95	16.86	1.66
16.95	16.61	1.56
19.1	16.17	1.45
19.1	15.79	1.57
20.09	15.52	1.96
20.09	15.7	2.57
19.26	15.98	3.29
17.53	15.78	3.87
17.53	15.87	4.09
18.33	16.16	4.14
18.33	16.45	4.35
20.62	16.57	4.66
20.62	16.56	5.05
22.23	16.18	5.56
22.23	16.2	6.27
22.23	16.18	7.07
22.23	16.22	7.5
24.32	16.21	7.71
24.32	16.55	7.87
25.03	16.8	8.17
25.03	17.35	8.83
24.1	17.27	9.23
24.1	17.25	9.52
24.36	17.1	9.6
24.36	17.18	9.73
24.34	17.68	9.96
24.34	18	10.29
25.18	18.39	10.34
26.74	18.64	10.46
26.74	18.77	10.47
26.74	18.71	10.45
29.02	18.76	10.58
29.02	19.23	10.8
29.86	19.52	10.94
31.24	19.65	10.94
31.24	19.68	10.9
33.44	19.63	10.88
33.44	19.96	11.16
35.67	20.16	11.35
35.67	20.23	11.41
38.22	20.21	11.39
38.22	20.15	11.48
38.22	20.08	11.57
38.22	20.23	11.49
38.22	20.52	11.42
38.22	20.87	11.45
41.26	21.05	11.46
41.26	21.53	11.51
42.35	21.72	11.7
42.35	21.69	11.51
42.42	21.51	11.21
42.42	21.39	10.74
44.74	21.68	10.44
44.74	22.17	10.33
45.65	22.25	10.28
45.65	21.83	10.14
46.96	21.42	9.93
46.96	21.14	9.7
48.09	20.92	9.45
48.09	20.84	9.18
48.34	20.89	8.72
48.34	20.75	8.37
49.5	20.61	8.1
49.5	20.36	8.03
49.71	20.29	7.83
49.71	20.26	7.48
51.15	19.93	7.25
51.81	19.98	7.13
51.81	20.08	7.03
51.81	19.74	6.81
51.81	19.54	6.41
51.81	19.05	6.12
52.53	18.83	5.82
52.53	18.58	5.44
52.8	18.4	5.06
52.8	18.31	4.55
54.54	18.22	4.14
54.54	18.02	3.79
56.3	18.01	3.56
56.3	17.9	3.15
57.84	17.93	2.87
57.84	17.81	2.66
58.84	17.86	2.36
58.84	17.81	2.05
59.03	17.59	1.83
58.64	17.42	1.75
58.64	17.29	1.47
57.25	17.28	0.92
57.25	17.27	0.35
56.81	17.02	0.03
56.81	16.49	-0.24
57.22	16.33	-0.44
57.22	16.04	-0.77
58.15	15.98	-1.11
58.15	15.9	-1.49
59.11	15.48	-1.66
59.11	15.34	-1.66
59.11	15.06	-1.76
59.11	15.17	-1.77
59.11	15.39	-1.96
59.11	15.46	-2.37
53.16	15.62	-3.05
53.16	15.83	-3.61
53.03	15.93	-3.89
53.03	15.61	-4.15
53.76	15.62	-4.34
53.76	15.76	-4.63
55.57	15.84	-4.69
56.57	15.74	-4.52
56.57	15.77	-4.36
56.57	15.55	-4.51
55.42	15.28	-4.69
55.42	14.99	-4.92
54.09	14.88	-5.06
52.64	14.98	-5.24
52.64	15.34	-5.42
51.48	15.82	-5.6
51.48	16.34	-5.95
51.85	16.64	-6.05
51.85	16.54	-6.12
52.67	16.46	-6.34
52.67	16.75	-6.52
53.77	17.01	-6.5
53.77	17.26	-6.5
53.77	17.14	-6.64
53.77	17.17	-6.8
52.33	17.09	-6.87
52.33	16.91	-6.85
51.31	16.83	-6.88
51.31	16.87	-6.91
50	16.64	-6.69
50	16.32	-6.43
46.07	15.76	-6.29
46.07	15.29	-6.58
43.5	15.24	-7.12
43.5	15.64	-7.46
40.78	16.01	-7.59
40.78	16.04	-7.53
37.93	15.65	-7.58
37.93	15.27	-7.92
37.6	15.33	-8.24
37.6	15.73	-8.37
39.23	16.13	-8.18
39.23	16.42	-8.11
40.22	16.31	-8.09
40.22	16.32	-8.21
41.93	16.11	-7.97
41.93	16.01	-7.65
42.39	15.8	-7.45
42.39	15.5	-7.41
42.26	15.62	-7.32
42.26	16	-7.04
42.26	16.03	-6.88
42.26	15.74	-6.74
42.26	15.35	-6.36
39.9	15	-6.04
39.9	14.7	-5.95
37.32	14.61	-5.91
37.32	14.86	-5.85
34.93	15.25	-5.89
34.93	15.63	-6.02
33.84	15.7	-6.02
33.84	15.16	-5.9
34.15	14.63	-5.55
34.15	14.21	-5.22
33.45	13.67	-5.11
33.45	13.59	-5.09
32.86	13.67	-4.9
32.86	13.88	-4.63
31.84	13.62	-4.52
31.84	13.29	-4.77
33.84	12.84	-4.9
33.84	12.83	-4.74
35.7	12.88	-4.52
36.46	12.67	-4.19
36.46	12.19	-3.74
36.58	11.58	-3.66
36.58	11.13	-3.86
36.58	11.03	-3.86
36.58	10.74	-3.82
36.54	10.79	-3.59
36.54	11.05	-3.18
33.24	10.48	-2.55
33.24	10.02	-1.68
28.8	9.71	-0.93
26.72	9.69	-0.4
26.72	10.09	0.03
23.86	10.41	0.55
23.86	10.49	1.14
22.53	10.48	1.56
22.53	11.04	1.97
22.89	11.6	2.68
22.89	12.11	3.44
24.02	12.53	4.19
25.33	12.66	4.94
25.33	12.83	5.56
27.29	13.57	6.02
27.29	14.27	6.53
29.34	15.38	7.14
29.34	16.32	7.72
31.77	17.19	8.32
31.77	17.85	8.96
34.56	18.1	9.65
34.56	18.79	10.54
36.74	19.53	11.48
36.74	20.38	12.2
36.74	21.4	12.87
36.74	22.17	13.41
36.74	22.52	14.1
40.4	22.94	14.46
40.4	23.35	14.69
42.11	24.18	14.91
42.11	24.86	15.3
42.83	25.57	15.74
42.83	25.61	16.06
43.89	25.53	16.24
43.89	25.52	16.49
44.99	25.73	16.86
44.99	26.07	17.02
45.32	26.37	16.91
45.32	26.8	16.51
47.01	26.98	16.27
47.01	27.1	16.45
47.49	27.13	16.8
47.49	26.94	16.91
49.38	27.07	16.99
49.38	27.24	17.01
51.89	27.33	16.85
51.89	27.32	16.57
55.06	27.42	16.32
55.06	27.39	16.23
58.78	27.61	16.23
58.78	27.83	16.24
58.78	27.93	16.2
58.78	27.39	16.16
65.68	26.87	16.16
65.68	26.45	16.14
67.68	26.15	15.88
67.68	25.92	15.36
72.27	25.63	14.87
72.27	25.63	14.6
72.27	25.16	14.29
74.66	24.58	13.86
77.24	24.21	13.68
77.24	23.84	13.62
80.58	23.56	13.38
80.58	23.11	13.27
83.61	22.68	12.98
83.61	22.77	12.47
86.28	22.41	11.63
86.28	22.34	10.8
91.39	22.59	10.01
91.39	22.38	9.4
95.15	21.44	8.76
95.15	20.27	8.38
99.18	19.57	7.95
99.18	19.23	7.62
102.53	18.93	7.31
102.53	18.32	6.84
102.53	17.78	6.25
102.53	17.37	5.84
102.53	16.89	5.36
102.53	16.22	4.75
106.65	15.45	3.95
108.06	14.66	3.41
108.06	14.28	2.93
109.8	13.99	2.14
109.8	13.48	1.43
110.41	12.96	1.31
110.41	12.44	1.16
110.39	11.49	0.83
110.39	10.58	0.35
110.85	10.06	-0.15
110.85	9.86	-0.36
110.7	9.59	-0.5
109.24	9.31	-0.79
109.24	8.8	-1.36
107.78	7.89	-1.73
107.78	7	-2.06
106.9	6.36	-2.25
106.9	6.54	-2.59
108.23	7.39	-2.94
108.23	8.06	-3.3
107.74	8.02	-3.91
107.74	7.74	-3.98
107.74	7.76	-3.74
107.74	7.92	-3.68
103.06	8.31	-3.96
103.06	8.7	-4.28
100.78	9.16	-4.74
100.78	9.39	-5.09
97.59	9.53	-5.34
97.59	9.81	-5.84
96.52	10.23	-6.09
96.52	10.94	-6.34
95.88	11.38	-6.76
95.88	11.45	-7.04
95.49	11.78	-6.89
95.49	11.87	-6.74
93.55	11.95	-6.48
93.55	12.26	-6.42
90.14	12.34	-6.49
90.14	12.28	-6.69
85.64	12.08	-7.12
85.64	12.31	-7.52
83.62	12.81	-7.81
82.55	13.34	-8.1
82.55	13.67	-8.17
81.89	13.92	-8.27
81.89	14.17	-8.53
81.28	14.13	-8.65
81.28	13.87	-8.69
81.28	13.99	-8.69
81.28	14.31	-8.66
81.28	15	-8.37
81.28	15.3	-8.15
78.08	15.53	-7.96
78.08	15.64	-7.97
75.22	15.76	-8.21
75.22	15.79	-8.57
73.88	16.01	-9.02
73.88	16.37	-9.33
74.11	16.32	-9.41
74.11	16.29	-9.17
75.05	16.29	-8.82
75.05	16.51	-8.71
76	16.97	-8.62
75.9	17.64	-8.22
75.9	17.68	-7.56
71.86	17.04	-7.3
71.86	16.25	-7.48
71.86	16.29	-8.01
70.6	16.72	-8.15
70.14	17.47	-7.84
70.14	18.22	-7.41
70.74	18.46	-7.38
70.74	18.64	-7.23
71.33	18.75	-6.91
71.33	18.6	-6.44
71.33	18.11	-5.86
71.33	17.64	-5.71
71.33	17.45	-5.75
67.51	16.94	-5.72
67.51	16.63	-5.7
66.29	16.56	-4.98
66.29	16.38	-4.19
63.29	15.96	-3.7
63.55	15.78	-3.22
63.55	15.45	-2.59
64.82	15.38	-1.59
64.82	15.21	-0.76
63.27	14.89	-0.15
63.27	14.46	0.35
63.77	13.43	1.12
63.77	12.32	2.21
59.45	11.35	3.48
54.19	11.17	4.25
54.19	11.51	4.56
54.57	12.07	4.42
59.24	12.39	4.37
59.24	12.3	4.87
62.82	11.74	5.63
62.82	11.45	6.43
65.79	10.84	7.38
65.79	10.53	8.14
65.79	10.3	8.51
65.79	10.47	8.71
65.79	10.51	9.02
72.53	10.87	9.41
72.53	10.99	10.1
72.53	11.14	10.85
73.04	11.16	11.14
73.04	11.2	11.54
76.06	11.82	12.02
78.04	12.41	12.5
78.04	12.87	12.97
80.36	13.42	13.49
80.36	13.89	13.98
81.11	14.06	14.5
81.11	14.21	14.91
80.83	14.33	15.09
80.97	14.51	14.95
80.97	15.26	14.92
83.86	15.89	15.28
83.86	16.55	15.99
84.01	16.51	16.52
84.01	16.55	16.62
85.36	16.89	16.63
85.36	17.42	16.76
87.75	17.72	16.97
87.75	18.12	17.39
88.25	18.53	17.97
88.25	19.09	18.18
88.25	19.64	18.16
88.25	19.9	18.05
89.57	20.02	17.88
89.57	20.33	17.54
92.57	21.09	17.36
92.57	21.67	17.13
96.24	21.86	16.74
96.24	22.03	16.45
99.79	22.28	16.54
99.79	22.39	16.58
99.79	22.23	16.37
104.32	21.97	15.88
110.76	22.57	15.51
110.76	23.2	15.14
117.42	23.49	14.88
117.42	23.3	14.7
123.92	22.96	14.65
123.92	22.99	14.71
133.03	22.94	14.58
133.03	22.66	14.58
139.27	22.52	14.41
139.27	22.5	14.28
147.85	22.79	13.99
147.85	22.91	13.64
152.7	22.95	13.17
152.7	23.09	12.5
152.7	22.68	11.66
152.7	21.72	11.08
152.7	20.9	10.71
152.7	20.34	10.3
151.74	19.7	10.15
151.74	19.32	9.99
149.91	19.1	9.84
149.91	19.01	9.97
148.54	18.95	10.31
148.54	18.61	10.81
149.25	18.34	10.46
145.99	18.1	9.93
145.99	17.7	9.49
146.92	17.3	8.99
146.92	17.2	8.52
150.07	17.01	8.1
150.07	16.97	7.66
151.45	17.11	7.34
151.45	17.38	6.9
153.8	17.64	6.44
152.18	17.68	6.07
152.18	17.42	5.8
152.06	17.24	5.42
152.06	17	4.9
151.96	16.7	4.35
151.96	17	3.84
152.75	17.53	3.42
152.75	17.86	3.01
152.75	17.85	2.51
152.75	17.75	2.15
154.11	17.65	1.78
154.11	17.48	1.34
154.28	17.45	0.81
154.28	17.5	0.64
154.53	17.39	0.65
154.53	16.76	0.35
151.42	16.34	-0.44
151.42	16.22	-1.19
148.63	16.36	-1.5
148.63	16.23	-1.93
147.54	15.81	-2.23
147.54	16.08	-2.7
146.75	16.29	-3.35
146.75	16.6	-4.02
145.21	16.82	-4.58
145.21	16.81	-4.74
145.39	16.26	-4.8
145.39	15.65	-4.81
144.86	15.17	-4.92
144.86	15.21	-5.15
141.86	15.14	-5.41
141.86	15.27	-5.45
138.59	15.3	-5.4
138.59	15.22	-5.43
138.59	14.95	-5.85
138.59	14.6	-6.31
138.59	14.26	-6.7
135.46	14.31	-6.85
135.46	14.38	-7.07
135.69	14.6	-6.89
135.69	14.6	-6.51
135.48	14.27	-6.17
135.48	13.97	-6.13
133.73	13.57	-6.3
133.73	13.59	-6.49
131.43	13.89	-6.81
131.43	14.19	-7.01
130.89	14.33	-7.19
130.89	14.39	-7.21
131.82	14.58	-7.01
132.83	14.69	-6.8
132.83	14.75	-6.7
132.83	14.78	-6.76
131.77	14.83	-6.82
130.83	14.89	-6.85
130.83	14.97	-6.79
130.23	15.02	-6.64
130.23	15.04	-6.08
128.81	14.77	-5.92
128.81	15.15	-6.1
128.81	15.39	-6.18
128.81	15.53	-6.23
128.81	15.51	-6.12
127.59	15.79	-5.99
127.59	16.08	-5.85
127.93	16.42	-5.75
127.93	16.35	-5.51
127.5	15.92	-5.31
126.87	15.89	-5.09
126.87	15.94	-4.93
126.43	15.96	-4.98
126.43	16.01	-5
126.34	16	-4.94
126.34	15.91	-4.67
127.27	15.77	-3.72
130.35	15.41	-2.61
130.35	15.09	-1.85
131.39	14.77	-1.34
131.39	14.3	-0.81
133.33	14.08	-0.25
136	13.92	0.3
136	13.8	0.99
136	14.12	1.88
145.38	14.31	2.58
148.88	14.02	3.02
148.88	13.74	3.62
148.88	13.61	3.83
148.88	13.95	4.17
148.88	14.24	4.83
148.88	14.52	5.53
155.08	14.5	5.95
155.08	14.56	6.42
154.38	14.5	7.15
154.38	14.52	8.07
156.6	14.55	8.89
161.49	14.34	9.93
161.49	14.4	10.72
167.14	14.66	10.88
165.52	14.91	11.01
165.52	15.34	11.34
175.6	15.85	11.76
175.6	15.89	11.82
-178.79	15.81	11.73
-178.79	15.92	11.89
-168.16	16.13	12.45
-168.16	16.61	13.03
-158.57	17.12	13.4
-158.57	17.53	13.71
-157.79	17.75	14.2
-157.79	17.97	14.51
-157.55	18.09	14.69
-157.55	18.35	15.25
-144.8	18.99	15.94
-144.8	19.13	16.41
-144.8	19.12	16.76
-144.8	19.36	16.87
-130.34	19.72	17.03
-130.34	20.53	17.35
-129.1	20.96	17.81
-129.1	21.38	18.17
-124.35	21.86	18.41
-124.35	22.37	18.55
-117.02	22.62	18.82
-117.02	22.76	19.3
-108.79	23.12	19.79
-108.79	23.55	20.36
-104.35	23.68	20.84
-104.35	23.65	20.77
-102.97	24	20.37
-102.97	24.58	19.78
-106.28	25.19	19.29
-106.28	25.37	19.14
-97.7	25.33	19.31
-97.7	25.45	19.42
-93.75	25.4	19.31
-93.75	25.26	19.23
-92.25	24.96	19.26
-92.25	24.97	19.49
-95.69	24.86	19.43
-98.92	24.8	19.23
-98.92	24.66	18.92
-98.92	24.66	18.31
-98.92	24.92	17.54
-98.92	25.37	17.22
-98.92	25.44	17.01
-104.75	24.88	16.81
-104.75	24.27	16.51
-104.46	23.59	16.1
-104.46	23.24	15.67
-105.85	23.31	15.23
-105.85	23.35	14.78
-105.85	23.24	14.32
-105.85	23.06	14.01
-105.85	22.64	13.6
-104.92	22.19	13.08
-105.16	21.54	12.61
-105.16	20.88	12.29
-109.07	20.36	11.96
-109.07	20.09	11.57
-112.14	19.91	11.37
-112.14	19.54	11.23
-116.34	18.61	11.08
-116.34	18.04	10.85
-116.34	17.78	10.32
-118.67	17.82	9.66
-122.62	17.7	9.21
-122.62	17.33	8.94
-120.25	16.88	8.74
-120.25	16.28	8.35
-120.25	16.05	8.01
-120.25	15.73	7.68
-120.25	15.49	7.5
-120.25	14.87	7.3
-131.55	14.62	7.09
-131.55	14.32	6.93
-128.86	14.04	6.66
-128.86	13.52	6.11
-130.49	13.31	5.59
-130.49	13.12	5.3
-138.82	12.82	4.84
-138.82	12.55	4.57
-138.56	12.33	4.34
-138.56	12.39	3.91
-142.62	12.81	3.44
-142.62	13.56	3.09
-149.24	14.32	2.56
-149.24	14.5	1.98
-157.5	14.62	1.51
-159.58	14.68	1.41
-159.58	14.63	1.45
-162.06	14.98	1.35
-162.06	15.31	1.27
-162.06	15.82	1.08
-168.77	16	0.93
-173.41	16.25	0.53
-173.41	16.42	0
-173.41	16.48	-0.26
-173.41	16.62	-0.42
-173.41	17.08	-0.6
-173.41	17.56	-0.56
-173.57	18.16	-0.66
-173.57	18.43	-1.03
-175.11	18.59	-1.44
-175.11	18.42	-1.7
-175.33	18.52	-1.9
-175.09	18.57	-2.18
-175.09	18.88	-2.61
-176.6	19.32	-2.94
-176.6	20.22	-3.22
-176.46	20.82	-3.4
-176.46	20.33	-3.59
-173.65	19.41	-3.65
-173.65	19.15	-3.8
-170.76	19.46	-3.67
-170.76	19.75	-3.5
-167.48	19.65	-3.55
-167.48	19.54	-3.82
-169.32	19.43	-4.26
-171.08	19.16	-4.69
-171.08	18.78	-4.97
-169.79	18.81	-4.86
-169.79	18.63	-4.38
-169.79	18.51	-3.99
-169.79	18.46	-4
-169.79	18.17	-4.12
-170.25	17.54	-4.22
-170.25	17.04	-4.01
-168.15	16.15	-3.68
-168.15	15.82	-3.68
-164.95	15.77	-3.87
-164.95	16	-4.16
-164.34	16.09	-4.24
-164.34	15.86	-4.12
-161.98	15.79	-3.94
-161.98	15.78	-3.51
-161.31	15.74	-3.08
-161.31	15.79	-2.69
-162.42	15.81	-2.27
-162.78	15.43	-1.94
-162.78	14.82	-1.7
-161.97	14.28	-1.62
-161.97	14.02	-1.64
-161.97	13.94	-1.65
-159.75	13.97	-1.58
-156.36	13.93	-1.29
-156.36	13.68	-0.61
-148.42	13.21	0.21
-148.42	12.81	0.76
-148.42	12.4	1.28
-148.42	12.23	1.86
-148.42	12.31	2.56
-148.42	12.45	3.22
-137.28	12.39	3.71
-134.54	12.04	4.16
-134.54	11.34	4.52
-132.23	10.88	4.88
-132.23	10.7	5.32
-131.23	11.1	6.14
-125.49	11.06	7.09
-125.49	10.8	7.98
-121.16	10.81	8.6
-121.16	11.04	9.11
-118.09	10.88	9.76
-118.09	10.84	10.28
-112.72	10.56	10.57
-112.72	10.68	10.78
-109.69	10.98	10.99
-109.69	11.27	11.27
-105.43	11.89	11.81
-105.43	12.44	12.2
-99.53	12.88	12.66
-99.53	13.22	13.27
-94.07	13.65	14.03
-94.07	13.76	14.87
-89.81	13.8	15.5
-89.81	14.26	15.73
-89.81	14.94	15.7
-89.81	15.92	15.87
-89.81	16.69	16.06
-82.68	16.99	16.55
-78.75	17.15	17.19
-78.75	17.05	17.54
-75.74	17	17.76
-75.74	17.43	17.89
-74.1	18.09	18.14
-71.15	18.57	18.36
-71.15	18.62	18.51
-70.15	18.8	18.5
-70.15	19.18	18.31
-63.29	19.8	18.16
-63.29	20.46	18.27
-57.63	20.98	18.53
-57.63	21.41	18.81
-53.22	21.72	18.91
-53.22	22.52	19.04
-49.71	23.27	19.4
-49.71	23.79	19.9
-48.02	23.85	20.35
-48.02	23.42	20.37
-47.91	23.26	20.2
-47.91	23.31	19.72
-48.74	23.73	19.22
-48.74	24.4	18.97
-48.74	25.15	19
-48.74	25.41	19.14
-48.74	25.49	19.15
-48.74	25.49	18.97
-45.6	25.5	18.7
-45.6	25.62	18.4
-44.94	25.75	18.24
-44.94	25.7	18.15
-45.1	25.47	18.04
-45.1	25.01	17.5
-44.86	24.71	16.96
-44.86	24.78	16.38
-43.21	24.87	15.97
-43.21	24.92	15.7
-41.21	24.85	15.42
-41.21	24.49	15.01
-38.01	23.74	14.65
-38.01	22.91	14.55
-39.37	22.19	14.49
-39.37	21.62	14.12
-42.52	21.11	13.71
-42.52	20.51	13.06
-43.35	19.97	12.28
-43.35	19.82	11.69
-43.32	19.45	11.22
-43.32	19.06	10.62
-41.75	18.66	10.11
-41.75	18.39	9.73
-41.75	18.35	9.57
-41.75	18.13	9.36
-32.72	17.88	9.05
-32.72	17.79	8.6
-30.79	17.45	8.24
-30.79	17.31	7.97
-32.75	17.4	7.67
-32.75	17.16	7.24
-34.4	16.83	6.83
-34.4	16.86	6.33
-35.5	16.53	5.73
-35.5	16.49	5.25
-35.33	16.68	4.79
-35.33	16.62	4.3
-34.04	16.35	3.84
-32.13	16.16	3.29
-32.13	15.96	2.89
-32.24	15.94	2.55
-32.24	16.29	2.31
-35.22	16.21	2.22
-35.22	16.17	1.85
-39.31	16	1.45
-39.31	16.18	1.18
-42.99	15.78	1.12
-42.99	15.63	0.94
-46.79	15.44	0.67
-46.79	15.38	0.35
-46.79	15.09	0.26
-46.79	15.25	0.13
-46.79	15.06	-0.22
-53.42	15.04	-0.67
-53.42	14.98	-1.41
-56.69	15.07	-1.96
-56.69	15.25	-2.37
-60.25	15.61	-2.59
-60.25	15.5	-2.87
-62.41	15.39	-3.27
-62.41	15.38	-3.62
-63.95	15.38	-3.85
-63.95	15.62	-3.9
-65.45	15.75	-4.02
-65.45	15.94	-4.18
-65.73	16.03	-4.4
-65.73	16.18	-4.27
-66.17	16.24	-3.43
-67.75	15.88	-2.18
-67.75	15.43	-1.23
-70.46	14.8	-0.26
-70.46	14.52	0.49
-72.42	14.32	0.8
-72.42	14.38	1.14
-72.82	14.63	1.59
-72.82	15.06	2.2
-72.82	14.97	2.62
-72.82	15.03	2.75
-71.86	15.07	3.12
-71.86	14.87	3.49
-70.38	14.82	4.16
-70.38	14.78	4.94
-69.29	15.09	5.47
-69.29	15.4	5.83
-67.57	15.71	6.11
-67.57	15.63	6.46
-65.34	15.48	6.85
-62.18	15.3	7.41
-62.18	14.88	7.85
-60.02	14.16	8.54
-60.02	13.82	9.08
-58.14	13.6	9.6
-56.81	13.52	10.18
-56.81	13.32	10.84
-56.4	13.2	11.4
-56.4	13.14	11.93
-56.17	12.99	12.27
-56.17	13.08	12.34
-55.47	13.14	12.48
-54.24	13.17	12.71
-54.24	13.31	13.18
-53.14	13.39	13.51
-53.14	13.78	13.53
-53.14	14.01	13.33
-53.14	14.18	13.16
-53.14	14.37	13.14
-53.14	14.45	13.34
-43.25	14.73	13.9
-41.76	15.16	14.79
-41.76	15.38	15.41
-40.66	15.31	15.8
-40.66	15.09	16.07
-40.05	14.84	16.01
-40.05	14.98	16.02
-38.62	14.89	16.32
-38.62	14.94	16.7
-37.69	14.81	16.55
-37.69	15.2	16.42
-34.24	16.03	16.74
-32.27	16.45	17.25
-32.27	16.64	17.51
-32.27	16.84	17.66
-29.93	17.4	18.02
-29.93	17.81	18.47
-29.38	17.81	18.75
-28.35	17.75	18.81
-28.35	17.8	18.66
-26.35	17.95	18.65
-26.35	18.53	18.76
-26.35	18.76	18.86
-26.35	18.61	18.86
-21.15	18.46	18.97
-21.15	18.71	19.11
-19.17	19.16	19.35
-19.17	19.55	19.72
-16.37	19.33	20.13
-16.37	19.22	20.38
-14.69	19.12	20.54
-14.69	19.12	20.58
-13.02	19.2	20.62
-13.02	19.76	20.61
-10.9	20.17	20.53
-7.67	20.65	20.54
-7.67	21.07	20.74
-3.86	21.33	21.11
-3.86	21.16	21.38
-0.58	21.1	21.55
-0.58	21.15	21.62
1.62	21.84	21.71
1.62	22.73	21.81
2.81	23.1	21.83
2.81	23.18	21.79
3.68	22.97	21.81
3.68	22.62	22.18
2.96	22.27	22.32
2.96	22.05	22.2
2.96	22.48	22.21
2.96	22.7	22.16
2.96	22.53	22.11
1.39	22.29	21.8
1.39	21.84	21.47
1.73	21.56	21.11
1.73	21.59	20.91
2.85	21.6	20.65
2.85	21.46	20.48
4.99	21.25	20.38
4.99	20.95	20.23
7.15	20.53	19.96
7.15	19.93	19.65
9.24	19.8	19.21
9.24	19.93	18.73
11.66	19.92	18.5
